Circuit Id, Generic Linear 5 Qubit Machine, Armonk, Burlington, Essex, Simulator, London, Ourense, Rome, Vigo, Yorktown
1.0,13,0,13,13,10,13,13,13,13,13
1.1,13,0,13,13,10,13,13,13,13,13
1.2,13,0,13,13,10,13,13,13,13,13
1.3,13,0,13,13,10,13,13,13,13,13
1.4,13,0,13,13,10,13,13,13,13,13
1.5,13,0,13,13,10,13,13,13,13,13
1.6,13,0,13,13,10,13,13,13,13,13
1.7,13,0,13,13,10,13,13,13,13,13
1.8,13,0,13,13,10,13,13,13,13,13
1.9,13,0,13,13,10,13,13,13,13,13
1.10,13,0,13,13,10,13,13,13,13,13
1.11,13,0,13,13,10,13,13,13,13,13
1.12,13,0,13,13,10,13,13,13,13,13
1.13,13,0,13,13,10,13,13,13,13,13
1.14,7,0,7,7,7,7,7,7,7,7
1.15,2,0,2,2,2,2,2,2,2,2
1.16,10,0,10,10,7,10,10,10,10,10
1.17,2,0,2,2,2,2,2,2,2,2
1.18,0,0,0,0,2,0,0,0,0,0
1.19,13,0,13,13,10,13,13,13,13,13
1.20,0,0,0,0,0,0,0,0,0,0
1.21,11,0,11,11,8,11,11,11,11,11
1.22,11,0,11,11,8,11,11,11,11,11
1.23,11,0,11,11,8,11,11,11,11,11
1.24,2,0,2,2,2,2,2,2,2,2
1.25,12,0,12,12,9,12,12,12,12,12
1.26,1,0,1,1,1,1,1,1,1,1
1.27,12,0,12,12,9,12,12,12,12,12
1.28,12,0,12,12,9,12,12,12,12,12
1.29,4,0,4,4,4,4,4,4,4,4
1.30,1,0,1,1,1,1,1,1,1,1
1.31,12,0,12,12,9,12,12,12,12,12
1.32,12,12,12,12,9,12,12,12,12,12
1.33,12,0,12,12,9,12,12,12,12,12
1.34,12,0,12,12,9,12,12,12,12,12
1.35,12,0,12,12,9,12,12,12,12,12
1.36,12,0,12,12,9,12,12,12,12,12
1.37,12,0,12,12,9,12,12,12,12,12
1.38,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SUM,377,12,377,377,292,377,377,377,377,377
MAX,13,12,13,13,10,13,13,13,13,13
MIN,0,0,0,0,0,0,0,0,0,0
AVG,9.666666667,0.307692308,9.666666667,9.666666667,7.487179487,9.666666667,9.666666667,9.666666667,9.666666667,9.666666667
AVG/MAX,0.743589744,0.025641026,0.743589744,0.743589744,0.748717949,0.743589744,0.743589744,0.743589744,0.743589744,0.743589744
