Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time, Estimated Runtime, Circuit Diagram Filename
1.0, 1.0 Quantum Teleportation, 00:00:00.2017910, 00:00:00.0320895, 00:00:00.0169673, 00:00:00.0040008, 1.0 Quantum Teleportation.svg
1.1, 1.1 Superdense coding of 0, 00:00:00.0645960, 00:00:00.0047120, 00:00:00.0059874, 00:00:00.0020007, 1.1 Superdense coding of 0.svg
1.2, 1.2 Superdense coding of 1, 00:00:00.0740118, 00:00:00.0030005, 00:00:00.0071010, 00:00:00.0020007, 1.2 Superdense coding of 1.svg
1.3, 1.3 Superdense coding of 2, 00:00:00.0467324, 00:00:00.0037774, 00:00:00.0042954, 00:00:00.0020007, 1.3 Superdense coding of 2.svg
1.4, 1.4 Superdense coding of 3, 00:00:00.0609186, 00:00:00.0037886, 00:00:00.0057129, 00:00:00.0020008, 1.4 Superdense coding of 3.svg
1.5, 1.5 Deutsch Algorithm Constant True, 00:00:00.0538823, 00:00:00.0019303, 00:00:00.0051950, 00:00:00.0010006, 1.5 Deutsch Algorithm Constant True.svg
1.6, 1.6 Deutsch Algorithm Constant False, 00:00:00.0637834, 00:00:00.0024945, 00:00:00.0061288, 00:00:00.0010004, 1.6 Deutsch Algorithm Constant False.svg
1.7, 1.7 Deutsch Algorithm Identity, 00:00:00.0427392, 00:00:00.0024268, 00:00:00.0040311, 00:00:00.0010006, 1.7 Deutsch Algorithm Identity.svg
1.8, 1.8 Deutsch Algorithm Inversion, 00:00:00.0433355, 00:00:00.0031813, 00:00:00.0040149, 00:00:00.0010005, 1.8 Deutsch Algorithm Inversion.svg
1.9, 1.9 Deutsch-Josza with 3 qubits, 00:00:00.0454409, 00:00:00.0041027, 00:00:00.0041337, 00:00:00.0030018, 1.9 Deutsch-Josza with 3 qubits.svg
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 00:00:00.0035671, 00:00:00.0029626, 00:00:00.0000603, 00:00:00.0030013, 1.10 Bernstein Vazrani for value 3 with 3 qubits.svg
1.11, 1.11 Simons Algorithm for 11, 00:00:00.0057418, 00:00:00.0051818, 00:00:00.0000558, 00:00:00.0040012, 1.11 Simons Algorithm for 11.svg
1.12, 1.12 3 Qubit Quantum Fourier Transform, 00:00:00.0045582, 00:00:00.0040124, 00:00:00.0000544, 00:00:00.0000024, 1.12 3 Qubit Quantum Fourier Transform.svg
1.13, 1.13 4 Qubit Quantum Fourier Transform, 00:00:00.0040047, 00:00:00.0034474, 00:00:00.0000556, 00:00:00.0000046, 1.13 4 Qubit Quantum Fourier Transform.svg
1.14, 1.14 5 Qubit Quantum Fourier Transform, 00:00:00.0046350, 00:00:00.0040576, 00:00:00.0000576, 00:00:00.0000075, 1.14 5 Qubit Quantum Fourier Transform.svg
1.15, 1.15 Shors Quantum Kernel, 00:00:01.0363746, 00:00:01.0347279, 00:00:00.0001635, 00:00:00.0129389, 1.15 Shors Quantum Kernel.svg
1.16, 1.16 Gover's search with 9 items, 00:00:00.0143047, 00:00:00.0120516, 00:00:00.0002239, 00:00:00.0000162, 1.16 Gover's search with 9 items.svg
1.17, 1.17 Quantum Approximate Optimization MaxCut, 00:00:00.0078895, 00:00:00.0063319, 00:00:00.0001542, 00:00:00.0050055, 1.17 Quantum Approximate Optimization MaxCut.svg
1.18, 1.18 011_3_qubit_grover_50_, 00:00:00.0102286, 00:00:00.0094950, 00:00:00.0000726, 00:00:00.0030159, 1.18 011_3_qubit_grover_50_.svg
1.19, 1.19 adder, 00:00:00.0098027, 00:00:00.0090841, 00:00:00.0000717, 00:00:00.0050204, 1.19 adder.svg
1.20, 1.20 bernstein-vazirani, 00:00:00.0054022, 00:00:00.0046469, 00:00:00.0000754, 00:00:00.0020038, 1.20 bernstein-vazirani.svg
1.21, 1.21 bigadder, 00:00:00.0151383, 00:00:00.0143845, 00:00:00.0000752, 00:00:00.0090407, 1.21 bigadder.svg
1.22, 1.22 Deutsch_Algorithm, 00:00:00.0046278, 00:00:00.0039620, 00:00:00.0000665, 00:00:00.0010006, 1.22 Deutsch_Algorithm.svg
1.23, 1.23 inverseqft1, 00:00:00.0051691, 00:00:00.0044916, 00:00:00.0000676, 00:00:00.0150016, 1.23 inverseqft1.svg
1.24, 1.24 inverseqft2, 00:00:00.0048935, 00:00:00.0041280, 00:00:00.0000764, 00:00:00.0100011, 1.24 inverseqft2.svg
1.25, 1.25 ipea_3_pi_8, 00:00:00.0073714, 00:00:00.0066660, 00:00:00.0000704, 00:00:00.0180112, 1.25 ipea_3_pi_8.svg
1.26, 1.26 iswap, 00:00:00.0051854, 00:00:00.0045039, 00:00:00.0000680, 00:00:00.0020011, 1.26 iswap.svg
1.27, 1.27 pea_3_pi_8, 00:00:00.0089401, 00:00:00.0082222, 00:00:00.0000716, 00:00:00.0040140, 1.27 pea_3_pi_8.svg
1.28, 1.28 qec, 00:00:00.0058726, 00:00:00.0052031, 00:00:00.0000669, 00:00:00.0050012, 1.28 qec.svg
1.29, 1.29 qe_qft_3, 00:00:00.0042511, 00:00:00.0034895, 00:00:00.0000760, 00:00:00.0010024, 1.29 qe_qft_3.svg
1.30, 1.30 qe_qft_4, 00:00:00.0075119, 00:00:00.0068104, 00:00:00.0000700, 00:00:00.0010098, 1.30 qe_qft_4.svg
1.31, 1.31 qe_qft_5, 00:00:00.0079325, 00:00:00.0072372, 00:00:00.0000694, 00:00:00.0010145, 1.31 qe_qft_5.svg
1.32, 1.32 qft, 00:00:00.0054583, 00:00:00.0047479, 00:00:00.0000709, 00:00:00.0010048, 1.32 qft.svg
1.33, 1.33 qpt, 00:00:00.0026936, 00:00:00.0020445, 00:00:00.0000648, 00:00:00.0010001, 1.33 qpt.svg
1.34, 1.34 rb, 00:00:00.0043588, 00:00:00.0036999, 00:00:00.0000658, 00:00:00.0010013, 1.34 rb.svg
1.35, 1.35 teleport, 00:00:00.0050078, 00:00:00.0042536, 00:00:00.0000752, 00:00:00.0050009, 1.35 teleport.svg
1.36, 1.36 teleportv2, 00:00:00.0048215, 00:00:00.0041465, 00:00:00.0000674, 00:00:00.0060010, 1.36 teleportv2.svg
1.37, 1.37 W-state, 00:00:00.0044054, 00:00:00.0037341, 00:00:00.0000670, 00:00:00.0030039, 1.37 W-state.svg
1.38, 1.38 W3test, 00:00:00.0035330, 00:00:00.0028709, 00:00:00.0000661, 00:00:00.0030013, 1.38 W3test.svg
