Circuit Id, Qubits, Classical Bits
1.0,100,100
1.1,100,100
1.2,100,100
1.3,100,100
1.4,100,100
1.5,100,100
1.6,100,100
1.7,100,100
1.8,100,100
1.9,100,100
1.10,100,100
1.11,100,100
1.12,100,100
1.13,100,100
1.14,100,100
1.15,100,100
1.16,100,100
1.17,100,100
1.18,100,100
1.19,100,100
1.20,100,100
1.21,100,100
1.22,100,100
1.23,100,100
1.24,100,100
1.25,100,100
1.26,100,100
1.27,100,100
1.28,100,100
1.29,100,100
1.30,100,100
1.31,100,100
1.32,100,100
1.33,100,100
1.34,100,100
1.35,100,100
1.36,100,100
1.37,100,100
1.38,100,100
